day,hour,min,price,inventory,date,timestamp,minute,main_contract,main_volume,main_contract_clean,signal,opti_price,filled_price,benchmark_amount,amount,slippage
45810,6,0,130.81,5,2025-06-02,2025-06-02 06:00:00,2025-06-02 06:00:00,RXM25.csv,722,RXM25.csv,5.0,130.73,130.95,654.05,654.75,-0.7000000000000455
45810,8,0,131.02,8,2025-06-02,2025-06-02 08:00:00,2025-06-02 08:00:00,RXM25.csv,1403,RXM25.csv,3.0,130.94,130.94,393.06000000000006,392.82,0.24000000000006594
45810,9,0,130.92,10,2025-06-02,2025-06-02 09:00:00,2025-06-02 09:00:00,RXM25.csv,1533,RXM25.csv,2.0,130.83999999999995,131.07,261.84,262.14,-0.30000000000001137
45810,10,0,131.05,7,2025-06-02,2025-06-02 10:00:00,2025-06-02 10:00:00,RXM25.csv,3243,RXM25.csv,-3.0,131.14,131.09,393.15000000000003,393.27,0.1199999999999477
45810,15,0,131.15,9,2025-06-02,2025-06-02 15:00:00,2025-06-02 15:00:00,RXM25.csv,402,RXM25.csv,2.0,131.08,131.19,262.3,262.38,-0.07999999999998408
45811,9,0,131.27,17,2025-06-03,2025-06-03 09:00:00,2025-06-03 09:00:00,RXM25.csv,1335,RXM25.csv,8.0,131.19,131.32,1050.16,1050.56,-0.3999999999998636
45811,10,0,131.4,23,2025-06-03,2025-06-03 10:00:00,2025-06-03 10:00:00,RXM25.csv,5275,RXM25.csv,6.0,131.32,131.32,788.4000000000001,787.92,0.4800000000001319
45811,12,0,131.1,17,2025-06-03,2025-06-03 12:00:00,2025-06-03 12:00:00,RXM25.csv,1953,RXM25.csv,-6.0,131.17,131.17,786.5999999999999,787.02,0.42000000000007276
45811,15,0,131.23,8,2025-06-03,2025-06-03 15:00:00,2025-06-03 15:00:00,RXM25.csv,113,RXM25.csv,-9.0,131.32,131.22,1181.07,1180.98,-0.08999999999991815
45812,9,0,131.09,9,2025-06-04,2025-06-04 09:00:00,2025-06-04 09:00:00,RXM25.csv,1162,RXM25.csv,1.0,131.01,131.08,131.09,131.08,0.009999999999990905
45812,10,0,131.09,11,2025-06-04,2025-06-04 10:00:00,2025-06-04 10:00:00,RXM25.csv,3153,RXM25.csv,2.0,131.02,131.02,262.18,262.04,0.13999999999998636
45812,12,0,131.08,9,2025-06-04,2025-06-04 12:00:00,2025-06-04 12:00:00,RXU25.csv,1184,RXU25.csv,-2.0,130.98,130.98,262.16,261.96,-0.20000000000004547
45812,15,0,131.28,6,2025-06-04,2025-06-04 15:00:00,2025-06-04 15:00:00,RXU25.csv,117,RXM25.csv,-3.0,131.37,131.23,393.84000000000003,393.68999999999994,-0.15000000000009095
45813,6,0,131.26,3,2025-06-05,2025-06-05 06:00:00,2025-06-05 06:00:00,RXU25.csv,3048,RXU25.csv,-3.0,131.35,131.21,393.78,393.63,-0.14999999999997726
45813,9,0,131.16,10,2025-06-05,2025-06-05 09:00:00,2025-06-05 09:00:00,RXU25.csv,2885,RXU25.csv,7.0,131.09,131.09,918.12,917.63,0.4900000000000091
45813,10,0,130.56,11,2025-06-05,2025-06-05 10:00:00,2025-06-05 10:00:00,RXU25.csv,3880,RXU25.csv,1.0,130.49,130.49,130.56,130.49,0.06999999999999318
45813,12,0,130.27,10,2025-06-05,2025-06-05 12:00:00,2025-06-05 12:00:00,RXU25.csv,1389,RXU25.csv,-1.0,130.35000000000002,130.28,130.27,130.28,0.009999999999990905
45813,15,0,130.25,2,2025-06-05,2025-06-05 15:00:00,2025-06-05 15:00:00,RXU25.csv,46,RXU25.csv,-8.0,130.33,130.24,1042.0,1041.92,-0.07999999999992724
45814,2,30,130.32,8,2025-06-06,2025-06-06 02:30:00,2025-06-06 02:30:00,RXU25.csv,382,RXU25.csv,6.0,130.23,130.33,781.92,781.98,-0.06000000000005912
45814,4,30,130.69,2,2025-06-06,2025-06-06 04:30:00,2025-06-06 04:30:00,RXU25.csv,1007,RXU25.csv,-6.0,130.78,130.71,784.14,784.26,0.12000000000000455
45814,6,0,130.71,0,2025-06-06,2025-06-06 06:00:00,2025-06-06 06:00:00,RXU25.csv,751,RXU25.csv,-2.0,130.8,130.7,261.42,261.4,-0.020000000000038654
45814,9,0,130.39,2,2025-06-06,2025-06-06 09:00:00,2025-06-06 09:00:00,RXU25.csv,1284,RXU25.csv,2.0,130.29999999999998,130.38,260.78,260.76,0.01999999999998181
45814,10,0,130.39,-3,2025-06-06,2025-06-06 10:00:00,2025-06-06 10:00:00,RXU25.csv,665,RXU25.csv,-5.0,130.47,130.47,651.9499999999999,652.35,0.40000000000009095
45814,12,0,130.33,2,2025-06-06,2025-06-06 12:00:00,2025-06-06 12:00:00,RXU25.csv,411,RXU25.csv,5.0,130.24,130.35,651.6500000000001,651.75,-0.09999999999990905
45814,15,0,130.24,-1,2025-06-06,2025-06-06 15:00:00,2025-06-06 15:00:00,RXU25.csv,344,RXU25.csv,-3.0,130.33,130.25,390.72,390.75,0.029999999999972715
45814,15,45,130.26,0,2025-06-06,2025-06-06 15:45:00,2025-06-06 15:45:00,RXU25.csv,32,RXU25.csv,1.0,130.17,130.25,130.26,130.25,0.009999999999990905
45817,6,0,130.77,1,2025-06-09,2025-06-09 06:00:00,2025-06-09 06:00:00,RXU25.csv,1485,RXU25.csv,1.0,130.68,130.76,130.77,130.76,0.010000000000019327
45817,9,0,130.14,3,2025-06-09,2025-06-09 09:00:00,2025-06-09 09:00:00,RXU25.csv,5741,RXU25.csv,2.0,130.04999999999998,130.18,260.28,260.36,-0.08000000000004093
45817,10,0,130.24,1,2025-06-09,2025-06-09 10:00:00,2025-06-09 10:00:00,RXU25.csv,914,RXU25.csv,-2.0,130.31,130.31,260.48,260.62,0.13999999999998636
45817,12,0,130.42,3,2025-06-09,2025-06-09 12:00:00,2025-06-09 12:00:00,RXU25.csv,941,RXU25.csv,2.0,130.32999999999998,130.43,260.84,260.86,-0.020000000000038654
45817,15,0,130.46,-1,2025-06-09,2025-06-09 15:00:00,2025-06-09 15:00:00,RXU25.csv,18,RXU25.csv,-4.0,130.54000000000002,130.46,521.84,521.84,-0.0
45818,6,0,130.6,-2,2025-06-10,2025-06-10 06:00:00,2025-06-10 06:00:00,RXU25.csv,2106,RXU25.csv,-1.0,130.68,130.65,130.6,130.65,0.05000000000001137
45818,9,0,130.83,-1,2025-06-10,2025-06-10 09:00:00,2025-06-10 09:00:00,RXU25.csv,93,RXU25.csv,1.0,130.74,130.88,130.83,130.88,-0.04999999999998295
45818,10,0,130.92,2,2025-06-10,2025-06-10 10:00:00,2025-06-10 10:00:00,RXU25.csv,635,RXU25.csv,3.0,130.82999999999998,130.82999999999998,392.76,392.48999999999995,0.27000000000003865
45818,12,0,130.88,-1,2025-06-10,2025-06-10 12:00:00,2025-06-10 12:00:00,RXU25.csv,361,RXU25.csv,-3.0,130.95,130.82,392.64,392.46,-0.18000000000000682
45818,15,0,130.86,0,2025-06-10,2025-06-10 15:00:00,2025-06-10 15:00:00,RXU25.csv,87,RXU25.csv,1.0,130.77,130.91,130.86,130.91,-0.04999999999998295
45819,6,0,130.68,5,2025-06-11,2025-06-11 06:00:00,2025-06-11 06:00:00,RXU25.csv,848,RXU25.csv,5.0,130.6,130.66,653.4000000000001,653.3,0.10000000000013642
45819,8,0,130.66,8,2025-06-11,2025-06-11 08:00:00,2025-06-11 08:00:00,RXU25.csv,1355,RXU25.csv,3.0,130.57,130.57,391.98,391.71,0.27000000000003865
45819,10,0,130.83,11,2025-06-11,2025-06-11 10:00:00,2025-06-11 10:00:00,RXU25.csv,1387,RXU25.csv,3.0,130.75,130.84,392.49,392.52,-0.029999999999972715
45819,12,0,130.77,5,2025-06-11,2025-06-11 12:00:00,2025-06-11 12:00:00,RXU25.csv,871,RXU25.csv,-6.0,130.84,130.8,784.6200000000001,784.8000000000001,0.17999999999994998
45819,15,0,130.8,7,2025-06-11,2025-06-11 15:00:00,2025-06-11 15:00:00,RXU25.csv,7,RXU25.csv,2.0,130.71,130.8,261.6,261.6,0.0
45820,6,0,131.32,4,2025-06-12,2025-06-12 06:00:00,2025-06-12 06:00:00,RXU25.csv,2804,RXU25.csv,-3.0,131.4,131.33,393.96,393.99,0.03000000000002956
45820,8,0,131.36,6,2025-06-12,2025-06-12 08:00:00,2025-06-12 08:00:00,RXU25.csv,1080,RXU25.csv,2.0,131.28,131.46,262.72,262.92,-0.19999999999998863
45820,10,0,131.29,9,2025-06-12,2025-06-12 10:00:00,2025-06-12 10:00:00,RXU25.csv,1432,RXU25.csv,3.0,131.20999999999998,131.31,393.87,393.93,-0.060000000000002274
45820,12,0,131.37,4,2025-06-12,2025-06-12 12:00:00,2025-06-12 12:00:00,RXU25.csv,469,RXU25.csv,-5.0,131.46,131.37,656.85,656.85,-0.0
45820,15,0,131.34,2,2025-06-12,2025-06-12 15:00:00,2025-06-12 15:00:00,RXU25.csv,65,RXU25.csv,-2.0,131.43,131.31,262.68,262.62,-0.060000000000002274
45821,2,30,131.86,1,2025-06-13,2025-06-13 02:30:00,2025-06-13 02:30:00,RXU25.csv,1337,RXU25.csv,-1.0,131.93,131.93,131.86,131.93,0.06999999999999318
45821,4,30,131.26,2,2025-06-13,2025-06-13 04:30:00,2025-06-13 04:30:00,RXU25.csv,1830,RXU25.csv,1.0,131.17,131.37,131.26,131.37,-0.11000000000001364
45821,8,0,131.3,1,2025-06-13,2025-06-13 08:00:00,2025-06-13 08:00:00,RXU25.csv,319,RXU25.csv,-1.0,131.39,131.28,131.3,131.28,-0.020000000000010232
