day,hour,min,price,inventory,date,timestamp,minute,main_contract,main_volume,main_contract_clean,signal,opti_price,filled_price,benchmark_amount,amount,slippage
43984,2,30,125.14,-5,2020-06-02,2020-06-02 02:30:00,2020-06-02 02:30:00,BPM20.csv,100,BPM20.csv,-5.0,125.49,125.49,625.7,627.4499999999999,1.7499999999998863
43984,4,0,125.12,-7,2020-06-02,2020-06-02 04:00:00,2020-06-02 04:00:00,BPM20.csv,176,BPM20.csv,-2.0,125.2,125.2,250.24,250.4,0.1599999999999966
43984,6,30,125.58,-2,2020-06-02,2020-06-02 06:30:00,2020-06-02 06:30:00,BPM20.csv,90,BPM20.csv,5.0,125.62,125.62,627.9,628.1,-0.20000000000004547
43984,8,0,125.42,0,2020-06-02,2020-06-02 08:00:00,2020-06-02 08:00:00,BPM20.csv,1122,BPM20.csv,2.0,125.35,125.35,250.84,250.7,0.14000000000001478
43984,9,0,125.49,11,2020-06-02,2020-06-02 09:00:00,2020-06-02 09:00:00,BPM20.csv,75,BPM20.csv,11.0,125.44,125.44,1380.3899999999999,1379.84,0.5499999999999545
43984,11,0,125.58,-3,2020-06-02,2020-06-02 11:00:00,2020-06-02 11:00:00,BPM20.csv,410,BPM20.csv,-14.0,125.48,125.48,1758.12,1756.72,-1.3999999999998636
43984,13,0,125.4,0,2020-06-02,2020-06-02 13:00:00,2020-06-02 13:00:00,BPM20.csv,99,BPM20.csv,3.0,125.36,125.36,376.20000000000005,376.08,0.12000000000006139
43985,4,0,125.87,-4,2020-06-03,2020-06-03 04:00:00,2020-06-03 04:00:00,BPM20.csv,136,BPM20.csv,-4.0,125.9,125.9,503.48,503.6,0.12000000000000455
43985,6,30,125.98,-8,2020-06-03,2020-06-03 06:30:00,2020-06-03 06:30:00,BPM20.csv,220,BPM20.csv,-4.0,125.85,125.85,503.92,503.4,-0.5200000000000387
43985,8,0,125.64,-4,2020-06-03,2020-06-03 08:00:00,2020-06-03 08:00:00,BPM20.csv,118,BPM20.csv,4.0,125.73,125.73,502.56,502.92,-0.36000000000001364
43985,10,30,125.72,0,2020-06-03,2020-06-03 10:30:00,2020-06-03 10:30:00,BPM20.csv,149,BPM20.csv,4.0,125.84,125.84,502.88,503.36,-0.4800000000000182
