day,hour,min,price,inventory,date,timestamp,minute,main_contract,main_volume,main_contract_clean,signal,opti_price,filled_price,benchmark_amount,amount,slippage
45293,1,30,2084.4,-1,2024-01-02,2024-01-02 01:30:00,2024-01-02 01:30:00,GCG24.csv,90,GCG24.csv,-1.0,2084.8,2084.8,2084.4,2084.8,0.40000000000009095
45293,3,30,2081.5,0,2024-01-02,2024-01-02 03:30:00,2024-01-02 03:30:00,GCG24.csv,67,GCG24.csv,1.0,2081.1,2081.1,2081.5,2081.1,0.40000000000009095
45293,4,30,2083.7,2,2024-01-02,2024-01-02 04:30:00,2024-01-02 04:30:00,GCG24.csv,55,GCG24.csv,2.0,2083.3,2085.6,4167.4,4171.2,-3.800000000000182
45293,6,0,2085.1,6,2024-01-02,2024-01-02 06:00:00,2024-01-02 06:00:00,GCG24.csv,164,GCG24.csv,4.0,2084.7,2084.7,8340.4,8338.8,1.6000000000003638
45293,8,30,2075.8,4,2024-01-02,2024-01-02 08:30:00,2024-01-02 08:30:00,GCG24.csv,169,GCG24.csv,-2.0,2076.4,2076.4,4151.6,4152.8,1.199999999999818
45293,9,0,2074.9,6,2024-01-02,2024-01-02 09:00:00,2024-01-02 09:00:00,GCG24.csv,208,GCG24.csv,2.0,2074.3,2074.3,4149.8,4148.6,1.199999999999818
45293,10,30,2073.5,8,2024-01-02,2024-01-02 10:30:00,2024-01-02 10:30:00,GCG24.csv,194,GCG24.csv,2.0,2072.8,2072.8,4147.0,4145.6,1.3999999999996362
45293,11,0,2068.2,6,2024-01-02,2024-01-02 11:00:00,2024-01-02 11:00:00,GCG24.csv,529,GCG24.csv,-2.0,2068.8,2068.8,4136.4,4137.6,1.2000000000007276
45293,12,0,2074.9,8,2024-01-02,2024-01-02 12:00:00,2024-01-02 12:00:00,GCG24.csv,69,GCG24.csv,2.0,2074.2000000000003,2075.1,4149.8,4150.2,-0.3999999999996362
45293,14,30,2070.3,6,2024-01-02,2024-01-02 14:30:00,2024-01-02 14:30:00,GCG24.csv,30,GCG24.csv,-2.0,2070.7000000000003,2070.3,4140.6,4140.6,-0.0
