day,hour,min,price,inventory,date,timestamp,minute,main_contract,main_volume,main_contract_clean,signal,opti_price,filled_price,benchmark_amount,amount,slippage
44622,6,0,332.38,1,2022-03-02,2022-03-02 06:00:00,2022-03-02 06:00:00,HOJ22.csv,16,HOJ22.csv,1.0,332.32,332.32,332.38,332.32,0.060000000000002274
44622,10,30,337.18,3,2022-03-02,2022-03-02 10:30:00,2022-03-02 10:30:00,HOJ22.csv,39,HOJ22.csv,2.0,337.63000000000005,337.63000000000005,674.36,675.2600000000001,-0.900000000000091
44622,12,0,340.33,6,2022-03-02,2022-03-02 12:00:00,2022-03-02 12:00:00,HOJ22.csv,45,HOJ22.csv,3.0,340.09000000000003,340.09000000000003,1020.99,1020.2700000000001,0.7199999999999136
44622,16,0,354.31,4,2022-03-02,2022-03-02 16:00:00,2022-03-02 16:00:00,HOJ22.csv,7,HOJ22.csv,-2.0,354.25,354.25,708.62,708.5,-0.12000000000000455
44623,6,0,362.81,3,2022-03-03,2022-03-03 06:00:00,2022-03-03 06:00:00,HOJ22.csv,4,HOJ22.csv,-1.0,363.14,363.14,362.81,363.14,0.3299999999999841
44623,12,0,349.89,2,2022-03-03,2022-03-03 12:00:00,2022-03-03 12:00:00,HOJ22.csv,79,HOJ22.csv,-1.0,349.97,352.58,349.89,352.58,2.6899999999999977
44623,16,0,350.08,0,2022-03-03,2022-03-03 16:00:00,2022-03-03 16:00:00,HOJ22.csv,23,HOJ22.csv,-2.0,350.16,350.16,700.16,700.32,0.16000000000008185
44624,10,30,369.01,2,2022-03-04,2022-03-04 10:30:00,2022-03-04 10:30:00,HOJ22.csv,25,HOJ22.csv,2.0,368.8,368.8,738.02,737.6,0.4199999999999591
44624,12,0,365.49,6,2022-03-04,2022-03-04 12:00:00,2022-03-04 12:00:00,HOJ22.csv,63,HOJ22.csv,4.0,366.04,366.04,1461.96,1464.16,-2.2000000000000455
44624,16,0,376.9,3,2022-03-04,2022-03-04 16:00:00,2022-03-04 16:00:00,HOJ22.csv,9,HOJ22.csv,-3.0,377.06,377.06,1130.6999999999998,1131.18,0.48000000000024556
44624,16,20,376.52,0,2022-03-04,2022-03-04 16:20:00,2022-03-04 16:20:00,HOJ22.csv,2,HOJ22.csv,-3.0,377.22,377.22,1129.56,1131.66,2.1000000000001364
44627,10,30,389.24,2,2022-03-07,2022-03-07 10:30:00,2022-03-07 10:30:00,HOJ22.csv,106,HOJ22.csv,2.0,389.2,389.2,778.48,778.4,0.08000000000004093
44627,12,0,394.21,6,2022-03-07,2022-03-07 12:00:00,2022-03-07 12:00:00,HOJ22.csv,54,HOJ22.csv,4.0,394.17,394.17,1576.84,1576.68,0.15999999999985448
44627,14,30,390.88,5,2022-03-07,2022-03-07 14:30:00,2022-03-07 14:30:00,HOJ22.csv,245,HOJ22.csv,-1.0,390.97,390.97,390.88,390.97,0.09000000000003183
44627,16,0,394.44,3,2022-03-07,2022-03-07 16:00:00,2022-03-07 16:00:00,HOJ22.csv,8,HOJ22.csv,-2.0,395.37,395.37,788.88,790.74,1.8600000000000136
44628,10,30,439.78,5,2022-03-08,2022-03-08 10:30:00,2022-03-08 10:30:00,HOJ22.csv,35,HOJ22.csv,2.0,439.74,439.74,879.56,879.48,0.07999999999992724
44628,12,0,443.24,2,2022-03-08,2022-03-08 12:00:00,2022-03-08 12:00:00,HOK22.csv,52,HOJ22.csv,-3.0,443.29,443.29,1329.72,1329.8700000000001,0.15000000000009095
44628,14,30,442.93,0,2022-03-08,2022-03-08 14:30:00,2022-03-08 14:30:00,HOJ22.csv,86,HOJ22.csv,-2.0,442.98,442.98,885.86,885.96,0.10000000000002274
44630,4,30,370.73,-2,2022-03-10,2022-03-10 04:30:00,2022-03-10 04:30:00,HOK22.csv,2,HOK22.csv,-2.0,353.25,354.48,741.46,708.96,-32.5
44630,8,30,367.68,0,2022-03-10,2022-03-10 08:30:00,2022-03-10 08:30:00,HOJ22.csv,31,HOJ22.csv,2.0,366.24,366.24,735.36,732.48,2.8799999999999955
44630,12,0,334.09,3,2022-03-10,2022-03-10 12:00:00,2022-03-10 12:00:00,HOJ22.csv,62,HOJ22.csv,3.0,334.34000000000003,334.34000000000003,1002.27,1003.0200000000001,-0.7500000000001137
44630,16,0,330.64,2,2022-03-10,2022-03-10 16:00:00,2022-03-10 16:00:00,HOJ22.csv,6,HOJ22.csv,-1.0,330.03,330.58,330.64,330.58,-0.060000000000002274
44631,4,30,338.46,0,2022-03-11,2022-03-11 04:30:00,2022-03-11 04:30:00,HOJ22.csv,11,HOJ22.csv,-2.0,338.47,338.47,676.92,676.94,0.020000000000095497
44631,8,30,330.3,2,2022-03-11,2022-03-11 08:30:00,2022-03-11 08:30:00,HOJ22.csv,44,HOJ22.csv,2.0,328.70000000000005,328.70000000000005,660.6,657.4000000000001,3.199999999999932
44631,12,0,340.06,6,2022-03-11,2022-03-11 12:00:00,2022-03-11 12:00:00,HOJ22.csv,38,HOJ22.csv,4.0,342.67,342.67,1360.24,1370.68,-10.440000000000055
44631,16,0,340.73,3,2022-03-11,2022-03-11 16:00:00,2022-03-11 16:00:00,HOJ22.csv,5,HOJ22.csv,-3.0,341.1,341.1,1022.19,1023.3000000000001,1.1100000000000136
44631,16,20,341.94,0,2022-03-11,2022-03-11 16:20:00,2022-03-11 16:20:00,HOJ22.csv,3,HOJ22.csv,-3.0,341.94,341.85,1025.82,1025.5500000000002,-0.26999999999975444
44634,4,30,339.89,-2,2022-03-14,2022-03-14 04:30:00,2022-03-14 04:30:00,HOJ22.csv,15,HOJ22.csv,-2.0,338.97,338.97,679.78,677.94,-1.8399999999999181
44634,6,0,333.84,-1,2022-03-14,2022-03-14 06:00:00,2022-03-14 06:00:00,HOJ22.csv,10,HOJ22.csv,1.0,335.13,335.13,333.84,335.13,-1.2900000000000205
44634,6,30,333.12,0,2022-03-14,2022-03-14 06:30:00,2022-03-14 06:30:00,HOJ22.csv,3,HOJ22.csv,1.0,333.82000000000005,333.82000000000005,333.12,333.82000000000005,-0.7000000000000455
44634,8,30,334.69,2,2022-03-14,2022-03-14 08:30:00,2022-03-14 08:30:00,HOM22.csv,2,HOM22.csv,2.0,311.82,311.72,669.38,623.44,45.93999999999994
44634,10,30,327.39,1,2022-03-14,2022-03-14 10:30:00,2022-03-14 10:30:00,HOJ22.csv,14,HOJ22.csv,-1.0,327.48,327.48,327.39,327.48,0.09000000000003183
44635,6,0,306.32,0,2022-03-15,2022-03-15 06:00:00,2022-03-15 06:00:00,HOJ22.csv,2,HOJ22.csv,-1.0,306.32,306.32,306.32,306.32,-0.0
44635,12,0,300.42,1,2022-03-15,2022-03-15 12:00:00,2022-03-15 12:00:00,HOJ22.csv,74,HOJ22.csv,1.0,300.33000000000004,300.33000000000004,300.42,300.33000000000004,0.08999999999997499
44636,12,0,309.37,2,2022-03-16,2022-03-16 12:00:00,2022-03-16 12:00:00,HOJ22.csv,12,HOJ22.csv,1.0,308.98,307.87,309.37,307.87,1.5
44636,16,0,311.69,0,2022-03-16,2022-03-16 16:00:00,2022-03-16 16:00:00,HOJ22.csv,2,HOJ22.csv,-2.0,312.82,312.82,623.38,625.64,2.259999999999991
44637,4,30,328.31,-2,2022-03-17,2022-03-17 04:30:00,2022-03-17 04:30:00,HOJ22.csv,1,HOK22.csv,-2.0,313.69,311.02,656.62,622.04,-34.58000000000004
44637,8,30,337.42,0,2022-03-17,2022-03-17 08:30:00,2022-03-17 08:30:00,HOK22.csv,8,HOM22.csv,2.0,307.87,307.87,674.84,615.74,59.10000000000002
44637,12,0,354.81,3,2022-03-17,2022-03-17 12:00:00,2022-03-17 12:00:00,HOK22.csv,42,HOJ22.csv,3.0,354.72,353.83,1064.43,1061.49,2.9400000000000546
44637,16,0,348.49,0,2022-03-17,2022-03-17 16:00:00,2022-03-17 16:00:00,HOK22.csv,8,HOJ22.csv,-3.0,348.86,348.96,1045.47,1046.8799999999999,1.4099999999998545
44638,12,0,351.18,3,2022-03-18,2022-03-18 12:00:00,2022-03-18 12:00:00,HOK22.csv,10,HOK22.csv,3.0,331.06,331.06,1053.54,993.1800000000001,60.3599999999999
44638,16,0,361.09,0,2022-03-18,2022-03-18 16:00:00,2022-03-18 16:00:00,HOK22.csv,4,HOK22.csv,-3.0,339.15000000000003,337.76,1083.27,1013.28,-69.99000000000001
44641,6,30,351.03,1,2022-03-21,2022-03-21 06:30:00,2022-03-21 06:30:00,HOK22.csv,1,HOK22.csv,1.0,351.03,352.15,351.03,352.15,-1.1200000000000045
44641,10,30,359.13,0,2022-03-21,2022-03-21 10:30:00,2022-03-21 10:30:00,HOK22.csv,47,HOK22.csv,-1.0,359.08,359.08,359.13,359.08,-0.05000000000001137
44641,12,0,358.09,2,2022-03-21,2022-03-21 12:00:00,2022-03-21 12:00:00,HOJ22.csv,14,HOK22.csv,2.0,358.45000000000005,358.45000000000005,716.18,716.9000000000001,-0.720000000000141
44642,12,0,355.9,5,2022-03-22,2022-03-22 12:00:00,2022-03-22 12:00:00,HOK22.csv,9,HOK22.csv,3.0,355.81,355.81,1067.6999999999998,1067.43,0.26999999999975444
44642,16,0,357.56,3,2022-03-22,2022-03-22 16:00:00,2022-03-22 16:00:00,HOK22.csv,17,HOK22.csv,-2.0,357.24,357.24,715.12,714.48,-0.6399999999999864
44643,6,0,362.76,4,2022-03-23,2022-03-23 06:00:00,2022-03-23 06:00:00,HOK22.csv,1,HOK22.csv,1.0,362.4,363.2,362.76,363.2,-0.4399999999999977
44643,12,0,378.27,1,2022-03-23,2022-03-23 12:00:00,2022-03-23 12:00:00,HOK22.csv,69,HOK22.csv,-3.0,378.29,378.29,1134.81,1134.8700000000001,0.060000000000172804
44644,6,0,378.7,0,2022-03-24,2022-03-24 06:00:00,2022-03-24 06:00:00,HOK22.csv,1,HOK22.csv,-1.0,378.91,378.91,378.7,378.91,0.21000000000003638
44644,12,0,377.22,3,2022-03-24,2022-03-24 12:00:00,2022-03-24 12:00:00,HOK22.csv,16,HOK22.csv,3.0,377.48,377.48,1131.66,1132.44,-0.7799999999999727
44644,16,0,379.54,0,2022-03-24,2022-03-24 16:00:00,2022-03-24 16:00:00,HOK22.csv,10,HOK22.csv,-3.0,379.63,379.56,1138.6200000000001,1138.68,0.05999999999994543
44645,12,0,373.38,3,2022-03-25,2022-03-25 12:00:00,2022-03-25 12:00:00,HOK22.csv,27,HOK22.csv,3.0,372.91,372.91,1120.1399999999999,1118.73,1.4099999999998545
44645,16,0,370.85,2,2022-03-25,2022-03-25 16:00:00,2022-03-25 16:00:00,HOM22.csv,2,HOK22.csv,-1.0,371.36,370.96,370.85,370.96,0.1099999999999568
44645,16,20,371.05,0,2022-03-25,2022-03-25 16:20:00,2022-03-25 16:20:00,HOK22.csv,2,HOK22.csv,-2.0,371.09,371.09,742.1,742.18,0.07999999999992724
44648,4,30,362.69,1,2022-03-28,2022-03-28 04:30:00,2022-03-28 04:30:00,HOK22.csv,2,HOK22.csv,1.0,363.59,363.59,362.69,363.59,-0.8999999999999773
44648,8,30,358.65,0,2022-03-28,2022-03-28 08:30:00,2022-03-28 08:30:00,HOK22.csv,4,HOK22.csv,-1.0,358.98,358.98,358.65,358.98,0.3300000000000409
44648,12,0,357.77,2,2022-03-28,2022-03-28 12:00:00,2022-03-28 12:00:00,HOK22.csv,19,HOK22.csv,2.0,357.68,360.04,715.54,720.08,-4.540000000000077
44649,4,30,350.89,0,2022-03-29,2022-03-29 04:30:00,2022-03-29 04:30:00,HOK22.csv,5,HOK22.csv,-2.0,351.52,351.52,701.78,703.04,1.259999999999991
44649,8,30,326.9,2,2022-03-29,2022-03-29 08:30:00,2022-03-29 08:30:00,HOK22.csv,27,HOK22.csv,2.0,326.81,322.43,653.8,644.86,8.93999999999994
44649,12,0,335.39,1,2022-03-29,2022-03-29 12:00:00,2022-03-29 12:00:00,HOK22.csv,15,HOK22.csv,-1.0,335.47,335.97,335.39,335.97,0.5800000000000409
44649,16,0,342.5,0,2022-03-29,2022-03-29 16:00:00,2022-03-29 16:00:00,HOK22.csv,1,HOK22.csv,-1.0,342.54,343.07,342.5,343.07,0.5699999999999932
44651,6,0,330.69,1,2022-03-31,2022-03-31 06:00:00,2022-03-31 06:00:00,HOK22.csv,4,HOK22.csv,1.0,329.55,329.55,330.69,329.55,1.1399999999999864
44652,4,30,334.8,3,2022-04-01,2022-04-01 04:30:00,2022-04-01 04:30:00,HOK22.csv,2,HOK22.csv,2.0,335.26,335.26,669.6,670.52,-0.9199999999999591
44652,6,0,338.72,2,2022-04-01,2022-04-01 06:00:00,2022-04-01 06:00:00,HOK22.csv,9,HOK22.csv,-1.0,338.79,338.79,338.72,338.79,0.06999999999999318
