day,hour,min,price,inventory,date,timestamp,minute,main_contract,main_volume,main_contract_clean,signal,opti_price,filled_price,benchmark_amount,amount,slippage
43832,2,30,8795.0,3,2020-01-02,2020-01-02 02:30:00,2020-01-02 02:30:00,NQH20.csv,48,NQH20.csv,3.0,8794.5,8794.5,26385.0,26383.5,1.5
43832,9,15,8821.25,-2,2020-01-02,2020-01-02 09:15:00,2020-01-02 09:15:00,NQH20.csv,195,NQH20.csv,-5.0,8823.75,8823.75,44106.25,44118.75,12.5
43832,10,0,8849.0,2,2020-01-02,2020-01-02 10:00:00,2020-01-02 10:00:00,NQH20.csv,1564,NQH20.csv,4.0,8841.75,8841.75,35396.0,35367.0,29.0
43832,10,15,8823.0,8,2020-01-02,2020-01-02 10:15:00,2020-01-02 10:15:00,NQH20.csv,4164,NQH20.csv,6.0,8811.75,8811.75,52938.0,52870.5,67.5
43832,10,45,8816.75,7,2020-01-02,2020-01-02 10:45:00,2020-01-02 10:45:00,NQH20.csv,1380,NQH20.csv,-1.0,8819.5,8819.5,8816.75,8819.5,2.75
43832,11,45,8819.75,9,2020-01-02,2020-01-02 11:45:00,2020-01-02 11:45:00,NQH20.csv,821,NQH20.csv,2.0,8819.25,8819.25,17639.5,17638.5,1.0
43832,12,0,8829.5,11,2020-01-02,2020-01-02 12:00:00,2020-01-02 12:00:00,NQH20.csv,520,NQH20.csv,2.0,8828.75,8828.75,17659.0,17657.5,1.5
43832,12,10,8830.5,10,2020-01-02,2020-01-02 12:10:00,2020-01-02 12:10:00,NQH20.csv,308,NQH20.csv,-1.0,8831.75,8831.75,8830.5,8831.75,1.25
43832,12,15,8830.75,8,2020-01-02,2020-01-02 12:15:00,2020-01-02 12:15:00,NQH20.csv,636,NQH20.csv,-2.0,8831.5,8831.5,17661.5,17663.0,1.5
43832,14,0,8844.25,4,2020-01-02,2020-01-02 14:00:00,2020-01-02 14:00:00,NQH20.csv,555,NQH20.csv,-4.0,8845.5,8845.5,35377.0,35382.0,5.0
43832,14,30,8857.0,-1,2020-01-02,2020-01-02 14:30:00,2020-01-02 14:30:00,NQH20.csv,583,NQH20.csv,-5.0,8857.0,8857.0,44285.0,44285.0,-0.0
43832,15,30,8865.75,0,2020-01-02,2020-01-02 15:30:00,2020-01-02 15:30:00,NQH20.csv,818,NQH20.csv,1.0,8864.5,8864.5,8865.75,8864.5,1.25
43832,16,0,8888.25,3,2020-01-02,2020-01-02 16:00:00,2020-01-02 16:00:00,NQH20.csv,2723,NQH20.csv,3.0,8884.5,8884.5,26664.75,26653.5,11.25
43833,2,30,8823.25,6,2020-01-03,2020-01-03 02:30:00,2020-01-03 02:30:00,NQH20.csv,172,NQH20.csv,3.0,8823.0,8823.0,26469.75,26469.0,0.75
43833,5,45,8766.25,9,2020-01-03,2020-01-03 05:45:00,2020-01-03 05:45:00,NQH20.csv,303,NQH20.csv,3.0,8765.75,8765.75,26298.75,26297.25,1.5
43833,6,15,8752.0,6,2020-01-03,2020-01-03 06:15:00,2020-01-03 06:15:00,NQH20.csv,249,NQH20.csv,-3.0,8752.25,8752.25,26256.0,26256.75,0.75
43833,7,30,8772.75,0,2020-01-03,2020-01-03 07:30:00,2020-01-03 07:30:00,NQH20.csv,280,NQH20.csv,-6.0,8773.5,8773.5,52636.5,52641.0,4.5
43833,8,0,8776.75,6,2020-01-03,2020-01-03 08:00:00,2020-01-03 08:00:00,NQH20.csv,420,NQH20.csv,6.0,8776.25,8776.25,52660.5,52657.5,3.0
43833,9,15,8782.25,7,2020-01-03,2020-01-03 09:15:00,2020-01-03 09:15:00,NQH20.csv,540,NQH20.csv,1.0,8781.75,8783.75,8782.25,8783.75,-1.5
43833,10,15,8825.5,6,2020-01-03,2020-01-03 10:15:00,2020-01-03 10:15:00,NQH20.csv,1832,NQH20.csv,-1.0,8826.25,8826.25,8825.5,8826.25,0.75
43833,10,30,8829.0,11,2020-01-03,2020-01-03 10:30:00,2020-01-03 10:30:00,NQH20.csv,786,NQH20.csv,5.0,8828.5,8828.5,44145.0,44142.5,2.5
43833,11,20,8817.0,10,2020-01-03,2020-01-03 11:20:00,2020-01-03 11:20:00,NQH20.csv,588,NQH20.csv,-1.0,8817.5,8817.5,8817.0,8817.5,0.5
43833,11,45,8829.5,11,2020-01-03,2020-01-03 11:45:00,2020-01-03 11:45:00,NQH20.csv,693,NQH20.csv,1.0,8829.0,8829.0,8829.5,8829.0,0.5
43833,12,5,8847.0,9,2020-01-03,2020-01-03 12:05:00,2020-01-03 12:05:00,NQH20.csv,2045,NQH20.csv,-2.0,8847.75,8847.75,17694.0,17695.5,1.5
43833,12,30,8844.75,4,2020-01-03,2020-01-03 12:30:00,2020-01-03 12:30:00,NQH20.csv,511,NQH20.csv,-5.0,8845.5,8845.5,44223.75,44227.5,3.75
43833,14,0,8833.5,8,2020-01-03,2020-01-03 14:00:00,2020-01-03 14:00:00,NQH20.csv,602,NQH20.csv,4.0,8833.0,8833.0,35334.0,35332.0,2.0
43833,14,30,8827.25,6,2020-01-03,2020-01-03 14:30:00,2020-01-03 14:30:00,NQH20.csv,348,NQH20.csv,-2.0,8827.75,8827.75,17654.5,17655.5,1.0
43833,15,0,8840.25,10,2020-01-03,2020-01-03 15:00:00,2020-01-03 15:00:00,NQH20.csv,461,NQH20.csv,4.0,8839.75,8839.75,35361.0,35359.0,2.0
43833,15,30,8827.5,11,2020-01-03,2020-01-03 15:30:00,2020-01-03 15:30:00,NQH20.csv,912,NQH20.csv,1.0,8827.0,8827.0,8827.5,8827.0,0.5
43833,15,40,8819.5,9,2020-01-03,2020-01-03 15:40:00,2020-01-03 15:40:00,NQH20.csv,1027,NQH20.csv,-2.0,8820.0,8820.0,17639.0,17640.0,1.0
43833,16,0,8810.75,6,2020-01-03,2020-01-03 16:00:00,2020-01-03 16:00:00,NQH20.csv,2613,NQH20.csv,-3.0,8811.25,8811.25,26432.25,26433.75,1.5
43833,16,15,8809.75,0,2020-01-03,2020-01-03 16:15:00,2020-01-03 16:15:00,NQH20.csv,776,NQH20.csv,-6.0,8810.25,8810.0,52858.5,52860.0,1.5
43836,2,30,8776.0,4,2020-01-06,2020-01-06 02:30:00,2020-01-06 02:30:00,NQH20.csv,1556,NQH20.csv,4.0,8775.75,8782.0,35104.0,35128.0,-24.0
43836,4,30,8727.75,10,2020-01-06,2020-01-06 04:30:00,2020-01-06 04:30:00,NQH20.csv,534,NQH20.csv,6.0,8727.25,8727.25,52366.5,52363.5,3.0
43836,6,0,8747.25,8,2020-01-06,2020-01-06 06:00:00,2020-01-06 06:00:00,NQH20.csv,94,NQH20.csv,-2.0,8747.75,8747.75,17494.5,17495.5,1.0
43836,8,0,8760.5,10,2020-01-06,2020-01-06 08:00:00,2020-01-06 08:00:00,NQH20.csv,402,NQH20.csv,2.0,8760.25,8760.25,17521.0,17520.5,0.5
43836,9,15,8753.75,11,2020-01-06,2020-01-06 09:15:00,2020-01-06 09:15:00,NQH20.csv,219,NQH20.csv,1.0,8753.25,8753.25,8753.75,8753.25,0.5
43836,9,20,8749.0,10,2020-01-06,2020-01-06 09:20:00,2020-01-06 09:20:00,NQH20.csv,171,NQH20.csv,-1.0,8749.25,8745.5,8749.0,8745.5,-3.5
43836,9,45,8775.0,9,2020-01-06,2020-01-06 09:45:00,2020-01-06 09:45:00,NQH20.csv,1592,NQH20.csv,-1.0,8775.75,8775.75,8775.0,8775.75,0.75
43836,10,0,8798.25,11,2020-01-06,2020-01-06 10:00:00,2020-01-06 10:00:00,NQH20.csv,1905,NQH20.csv,2.0,8797.75,8797.75,17596.5,17595.5,1.0
43836,10,5,8800.25,8,2020-01-06,2020-01-06 10:05:00,2020-01-06 10:05:00,NQH20.csv,990,NQH20.csv,-3.0,8801.0,8801.0,26400.75,26403.0,2.25
43836,10,15,8806.75,9,2020-01-06,2020-01-06 10:15:00,2020-01-06 10:15:00,NQH20.csv,880,NQH20.csv,1.0,8806.5,8806.5,8806.75,8806.5,0.25
43836,12,0,8823.25,11,2020-01-06,2020-01-06 12:00:00,2020-01-06 12:00:00,NQH20.csv,886,NQH20.csv,2.0,8822.75,8822.75,17646.5,17645.5,1.0
43836,12,5,8815.75,9,2020-01-06,2020-01-06 12:05:00,2020-01-06 12:05:00,NQH20.csv,350,NQH20.csv,-2.0,8816.5,8816.5,17631.5,17633.0,1.5
43836,12,15,8813.25,11,2020-01-06,2020-01-06 12:15:00,2020-01-06 12:15:00,NQH20.csv,670,NQH20.csv,2.0,8812.75,8812.75,17626.5,17625.5,1.0
43836,12,45,8823.25,9,2020-01-06,2020-01-06 12:45:00,2020-01-06 12:45:00,NQH20.csv,476,NQH20.csv,-2.0,8824.0,8824.0,17646.5,17648.0,1.5
43836,13,0,8822.5,3,2020-01-06,2020-01-06 13:00:00,2020-01-06 13:00:00,NQH20.csv,354,NQH20.csv,-6.0,8823.25,8823.25,52935.0,52939.5,4.5
43836,13,30,8834.25,9,2020-01-06,2020-01-06 13:30:00,2020-01-06 13:30:00,NQH20.csv,240,NQH20.csv,6.0,8833.75,8833.75,53005.5,53002.5,3.0
43836,14,0,8830.75,11,2020-01-06,2020-01-06 14:00:00,2020-01-06 14:00:00,NQH20.csv,982,NQH20.csv,2.0,8830.5,8830.5,17661.5,17661.0,0.5
43836,15,5,8838.75,9,2020-01-06,2020-01-06 15:05:00,2020-01-06 15:05:00,NQH20.csv,543,NQH20.csv,-2.0,8839.0,8839.0,17677.5,17678.0,0.5
43836,15,30,8843.25,10,2020-01-06,2020-01-06 15:30:00,2020-01-06 15:30:00,NQH20.csv,1004,NQH20.csv,1.0,8843.0,8843.0,8843.25,8843.0,0.25
43836,15,45,8851.0,2,2020-01-06,2020-01-06 15:45:00,2020-01-06 15:45:00,NQH20.csv,937,NQH20.csv,-8.0,8851.25,8851.25,70808.0,70810.0,2.0
43836,16,0,8865.0,10,2020-01-06,2020-01-06 16:00:00,2020-01-06 16:00:00,NQH20.csv,2060,NQH20.csv,8.0,8864.75,8864.75,70920.0,70918.0,2.0
43837,2,30,8866.0,5,2020-01-07,2020-01-07 02:30:00,2020-01-07 02:30:00,NQH20.csv,936,NQH20.csv,-5.0,8860.75,8860.75,44330.0,44303.75,-26.25
43837,6,0,8875.5,1,2020-01-07,2020-01-07 06:00:00,2020-01-07 06:00:00,NQH20.csv,145,NQH20.csv,-4.0,8878.25,8878.25,35502.0,35513.0,11.0
43837,7,15,8874.75,5,2020-01-07,2020-01-07 07:15:00,2020-01-07 07:15:00,NQH20.csv,223,NQH20.csv,4.0,8871.5,8871.5,35499.0,35486.0,13.0
43837,7,45,8878.25,1,2020-01-07,2020-01-07 07:45:00,2020-01-07 07:45:00,NQH20.csv,109,NQH20.csv,-4.0,8876.25,8876.25,35513.0,35505.0,-8.0
43837,8,0,8880.5,5,2020-01-07,2020-01-07 08:00:00,2020-01-07 08:00:00,NQH20.csv,406,NQH20.csv,4.0,8873.0,8873.0,35522.0,35492.0,30.0
43837,9,15,8861.75,1,2020-01-07,2020-01-07 09:15:00,2020-01-07 09:15:00,NQH20.csv,321,NQH20.csv,-4.0,8859.5,8859.5,35447.0,35438.0,-9.0
43837,10,0,8859.5,3,2020-01-07,2020-01-07 10:00:00,2020-01-07 10:00:00,NQH20.csv,3138,NQH20.csv,2.0,8865.5,8865.5,17719.0,17731.0,-12.0
43837,10,15,8872.75,7,2020-01-07,2020-01-07 10:15:00,2020-01-07 10:15:00,NQH20.csv,2012,NQH20.csv,4.0,8870.25,8870.25,35491.0,35481.0,10.0
43837,11,0,8876.5,8,2020-01-07,2020-01-07 11:00:00,2020-01-07 11:00:00,NQH20.csv,1591,NQH20.csv,1.0,8884.0,8884.0,8876.5,8884.0,-7.5
43837,11,30,8884.0,7,2020-01-07,2020-01-07 11:30:00,2020-01-07 11:30:00,NQH20.csv,802,NQH20.csv,-1.0,8876.5,8876.5,8884.0,8876.5,-7.5
43837,12,0,8869.25,10,2020-01-07,2020-01-07 12:00:00,2020-01-07 12:00:00,NQH20.csv,348,NQH20.csv,3.0,8871.5,8871.5,26607.75,26614.5,-6.75
43837,14,0,8884.5,8,2020-01-07,2020-01-07 14:00:00,2020-01-07 14:00:00,NQH20.csv,835,NQH20.csv,-2.0,8876.25,8876.25,17769.0,17752.5,-16.5
43837,14,15,8866.5,10,2020-01-07,2020-01-07 14:15:00,2020-01-07 14:15:00,NQH20.csv,932,NQH20.csv,2.0,8862.5,8862.5,17733.0,17725.0,8.0
43837,14,45,8867.5,8,2020-01-07,2020-01-07 14:45:00,2020-01-07 14:45:00,NQH20.csv,254,NQH20.csv,-2.0,8870.5,8870.5,17735.0,17741.0,6.0
