day,hour,min,price,inventory,date,timestamp,minute,main_contract,main_volume,main_contract_clean,signal,opti_price,filled_price,benchmark_amount,amount,slippage
45810,6,0,130.81,5,2025-06-02,2025-06-02 06:00:00,2025-06-02 06:00:00,RXM25.csv,722,RXM25.csv,5.0,130.97,130.97,654.05,654.85,-0.8000000000000682
45810,8,0,131.02,8,2025-06-02,2025-06-02 08:00:00,2025-06-02 08:00:00,RXM25.csv,1403,RXM25.csv,3.0,131.01000000000002,131.01000000000002,393.06000000000006,393.0300000000001,0.029999999999972715
45810,9,0,130.92,10,2025-06-02,2025-06-02 09:00:00,2025-06-02 09:00:00,RXM25.csv,1533,RXM25.csv,2.0,131.01,131.01,261.84,262.02,-0.18000000000000682
45810,10,0,131.05,7,2025-06-02,2025-06-02 10:00:00,2025-06-02 10:00:00,RXM25.csv,3243,RXM25.csv,-3.0,131.19,131.19,393.15000000000003,393.57,0.4199999999999591
45810,15,0,131.15,9,2025-06-02,2025-06-02 15:00:00,2025-06-02 15:00:00,RXM25.csv,402,RXM25.csv,2.0,131.16,131.16,262.3,262.32,-0.01999999999998181
45811,9,0,131.27,17,2025-06-03,2025-06-03 09:00:00,2025-06-03 09:00:00,RXM25.csv,1335,RXM25.csv,8.0,131.26,131.26,1050.16,1050.08,0.08000000000015461
45811,10,0,131.4,23,2025-06-03,2025-06-03 10:00:00,2025-06-03 10:00:00,RXM25.csv,5275,RXM25.csv,6.0,131.3,131.3,788.4000000000001,787.8000000000001,0.6000000000000227
45811,12,0,131.1,17,2025-06-03,2025-06-03 12:00:00,2025-06-03 12:00:00,RXM25.csv,1953,RXM25.csv,-6.0,131.11,131.11,786.5999999999999,786.6600000000001,0.060000000000172804
45811,15,0,131.23,8,2025-06-03,2025-06-03 15:00:00,2025-06-03 15:00:00,RXM25.csv,113,RXM25.csv,-9.0,131.26000000000002,131.23,1181.07,1181.07,-0.0
45812,9,0,131.09,9,2025-06-04,2025-06-04 09:00:00,2025-06-04 09:00:00,RXM25.csv,1162,RXM25.csv,1.0,131.09,131.09,131.09,131.09,0.0
45812,10,0,131.09,11,2025-06-04,2025-06-04 10:00:00,2025-06-04 10:00:00,RXM25.csv,3153,RXM25.csv,2.0,131.08,131.08,262.18,262.16,0.01999999999998181
45812,12,0,131.08,9,2025-06-04,2025-06-04 12:00:00,2025-06-04 12:00:00,RXU25.csv,1184,RXU25.csv,-2.0,131.08,131.08,262.16,262.16,-0.0
45812,15,0,131.28,6,2025-06-04,2025-06-04 15:00:00,2025-06-04 15:00:00,RXU25.csv,117,RXM25.csv,-3.0,131.26,131.26,393.84000000000003,393.78,-0.06000000000005912
45813,6,0,131.26,3,2025-06-05,2025-06-05 06:00:00,2025-06-05 06:00:00,RXU25.csv,3048,RXU25.csv,-3.0,131.22,131.22,393.78,393.65999999999997,-0.12000000000000455
45813,9,0,131.16,10,2025-06-05,2025-06-05 09:00:00,2025-06-05 09:00:00,RXU25.csv,2885,RXU25.csv,7.0,130.6,130.6,918.12,914.1999999999999,3.9200000000000728
45813,10,0,130.56,11,2025-06-05,2025-06-05 10:00:00,2025-06-05 10:00:00,RXU25.csv,3880,RXU25.csv,1.0,130.25,130.25,130.56,130.25,0.3100000000000023
45813,12,0,130.27,10,2025-06-05,2025-06-05 12:00:00,2025-06-05 12:00:00,RXU25.csv,1389,RXU25.csv,-1.0,130.28,130.28,130.27,130.28,0.009999999999990905
45813,15,0,130.25,2,2025-06-05,2025-06-05 15:00:00,2025-06-05 15:00:00,RXU25.csv,46,RXU25.csv,-8.0,130.25,130.25,1042.0,1042.0,-0.0
45814,2,30,130.32,8,2025-06-06,2025-06-06 02:30:00,2025-06-06 02:30:00,RXU25.csv,382,RXU25.csv,6.0,130.29999999999998,130.29999999999998,781.92,781.8,0.12000000000000455
45814,4,30,130.69,2,2025-06-06,2025-06-06 04:30:00,2025-06-06 04:30:00,RXU25.csv,1007,RXU25.csv,-6.0,130.76000000000002,130.76000000000002,784.14,784.5600000000002,0.42000000000018645
45814,6,0,130.71,0,2025-06-06,2025-06-06 06:00:00,2025-06-06 06:00:00,RXU25.csv,751,RXU25.csv,-2.0,130.72,130.72,261.42,261.44,0.01999999999998181
45814,9,0,130.39,2,2025-06-06,2025-06-06 09:00:00,2025-06-06 09:00:00,RXU25.csv,1284,RXU25.csv,2.0,130.34,130.34,260.78,260.68,0.0999999999999659
45814,10,0,130.39,-3,2025-06-06,2025-06-06 10:00:00,2025-06-06 10:00:00,RXU25.csv,665,RXU25.csv,-5.0,130.45000000000002,130.45000000000002,651.9499999999999,652.2500000000001,0.3000000000001819
45814,12,0,130.33,2,2025-06-06,2025-06-06 12:00:00,2025-06-06 12:00:00,RXU25.csv,411,RXU25.csv,5.0,130.26000000000002,130.26000000000002,651.6500000000001,651.3000000000001,0.35000000000002274
45814,15,0,130.24,-1,2025-06-06,2025-06-06 15:00:00,2025-06-06 15:00:00,RXU25.csv,344,RXU25.csv,-3.0,130.28,130.28,390.72,390.84000000000003,0.12000000000000455
45814,15,45,130.26,0,2025-06-06,2025-06-06 15:45:00,2025-06-06 15:45:00,RXU25.csv,32,RXU25.csv,1.0,130.25,130.25,130.26,130.25,0.009999999999990905
45817,6,0,130.77,1,2025-06-09,2025-06-09 06:00:00,2025-06-09 06:00:00,RXU25.csv,1485,RXU25.csv,1.0,130.78,130.78,130.77,130.78,-0.009999999999990905
45817,9,0,130.14,3,2025-06-09,2025-06-09 09:00:00,2025-06-09 09:00:00,RXU25.csv,5741,RXU25.csv,2.0,130.19,130.19,260.28,260.38,-0.10000000000002274
45817,10,0,130.24,1,2025-06-09,2025-06-09 10:00:00,2025-06-09 10:00:00,RXU25.csv,914,RXU25.csv,-2.0,130.23999999999998,130.23999999999998,260.48,260.47999999999996,-5.684341886080802e-14
45817,12,0,130.42,3,2025-06-09,2025-06-09 12:00:00,2025-06-09 12:00:00,RXU25.csv,941,RXU25.csv,2.0,130.44,130.44,260.84,260.88,-0.040000000000020464
45817,15,0,130.46,-1,2025-06-09,2025-06-09 15:00:00,2025-06-09 15:00:00,RXU25.csv,18,RXU25.csv,-4.0,130.47,130.47,521.84,521.88,0.03999999999996362
