day,hour,min,price,inventory,date,timestamp,minute,main_contract,main_volume,main_contract_clean,signal
44622,6,0,332.38,1,2022-03-02,2022-03-02 06:00:00,2022-03-02 06:00:00,HOJ22.csv,16,HOJ22.csv,1.0
44622,10,30,337.18,3,2022-03-02,2022-03-02 10:30:00,2022-03-02 10:30:00,HOJ22.csv,39,HOJ22.csv,2.0
44622,12,0,340.33,6,2022-03-02,2022-03-02 12:00:00,2022-03-02 12:00:00,HOJ22.csv,45,HOJ22.csv,3.0
44622,16,0,354.31,4,2022-03-02,2022-03-02 16:00:00,2022-03-02 16:00:00,HOJ22.csv,7,HOJ22.csv,-2.0
44623,6,0,362.81,3,2022-03-03,2022-03-03 06:00:00,2022-03-03 06:00:00,HOJ22.csv,4,HOJ22.csv,-1.0
44623,12,0,349.89,2,2022-03-03,2022-03-03 12:00:00,2022-03-03 12:00:00,HOJ22.csv,79,HOJ22.csv,-1.0
44623,16,0,350.08,0,2022-03-03,2022-03-03 16:00:00,2022-03-03 16:00:00,HOJ22.csv,23,HOJ22.csv,-2.0
44624,10,30,369.01,2,2022-03-04,2022-03-04 10:30:00,2022-03-04 10:30:00,HOJ22.csv,25,HOJ22.csv,2.0
44624,12,0,365.49,6,2022-03-04,2022-03-04 12:00:00,2022-03-04 12:00:00,HOJ22.csv,63,HOJ22.csv,4.0
44624,16,0,376.9,3,2022-03-04,2022-03-04 16:00:00,2022-03-04 16:00:00,HOJ22.csv,9,HOJ22.csv,-3.0
44624,16,20,376.52,0,2022-03-04,2022-03-04 16:20:00,2022-03-04 16:20:00,HOJ22.csv,2,HOJ22.csv,-3.0
44627,10,30,389.24,2,2022-03-07,2022-03-07 10:30:00,2022-03-07 10:30:00,HOJ22.csv,106,HOJ22.csv,2.0
44627,12,0,394.21,6,2022-03-07,2022-03-07 12:00:00,2022-03-07 12:00:00,HOJ22.csv,54,HOJ22.csv,4.0
44627,14,30,390.88,5,2022-03-07,2022-03-07 14:30:00,2022-03-07 14:30:00,HOJ22.csv,245,HOJ22.csv,-1.0
44627,16,0,394.44,3,2022-03-07,2022-03-07 16:00:00,2022-03-07 16:00:00,HOJ22.csv,8,HOJ22.csv,-2.0
44628,10,30,439.78,5,2022-03-08,2022-03-08 10:30:00,2022-03-08 10:30:00,HOJ22.csv,35,HOJ22.csv,2.0
44628,12,0,443.24,2,2022-03-08,2022-03-08 12:00:00,2022-03-08 12:00:00,HOK22.csv,52,HOJ22.csv,-3.0
44628,14,30,442.93,0,2022-03-08,2022-03-08 14:30:00,2022-03-08 14:30:00,HOJ22.csv,86,HOJ22.csv,-2.0
44630,4,30,370.73,-2,2022-03-10,2022-03-10 04:30:00,2022-03-10 04:30:00,HOK22.csv,2,HOK22.csv,-2.0
44630,8,30,367.68,0,2022-03-10,2022-03-10 08:30:00,2022-03-10 08:30:00,HOJ22.csv,31,HOJ22.csv,2.0
44630,12,0,334.09,3,2022-03-10,2022-03-10 12:00:00,2022-03-10 12:00:00,HOJ22.csv,62,HOJ22.csv,3.0
44630,16,0,330.64,2,2022-03-10,2022-03-10 16:00:00,2022-03-10 16:00:00,HOJ22.csv,6,HOJ22.csv,-1.0
44631,4,30,338.46,0,2022-03-11,2022-03-11 04:30:00,2022-03-11 04:30:00,HOJ22.csv,11,HOJ22.csv,-2.0
44631,8,30,330.3,2,2022-03-11,2022-03-11 08:30:00,2022-03-11 08:30:00,HOJ22.csv,44,HOJ22.csv,2.0
44631,12,0,340.06,6,2022-03-11,2022-03-11 12:00:00,2022-03-11 12:00:00,HOJ22.csv,38,HOJ22.csv,4.0
44631,16,0,340.73,3,2022-03-11,2022-03-11 16:00:00,2022-03-11 16:00:00,HOJ22.csv,5,HOJ22.csv,-3.0
44631,16,20,341.94,0,2022-03-11,2022-03-11 16:20:00,2022-03-11 16:20:00,HOJ22.csv,3,HOJ22.csv,-3.0
44634,4,30,339.89,-2,2022-03-14,2022-03-14 04:30:00,2022-03-14 04:30:00,HOJ22.csv,15,HOJ22.csv,-2.0
44634,6,0,333.84,-1,2022-03-14,2022-03-14 06:00:00,2022-03-14 06:00:00,HOJ22.csv,10,HOJ22.csv,1.0
44634,6,30,333.12,0,2022-03-14,2022-03-14 06:30:00,2022-03-14 06:30:00,HOJ22.csv,3,HOJ22.csv,1.0
44634,8,30,334.69,2,2022-03-14,2022-03-14 08:30:00,2022-03-14 08:30:00,HOM22.csv,2,HOM22.csv,2.0
44634,10,30,327.39,1,2022-03-14,2022-03-14 10:30:00,2022-03-14 10:30:00,HOJ22.csv,14,HOJ22.csv,-1.0
