day,hour,min,price,inventory,date,timestamp,minute,main_contract,main_volume,main_contract_clean
44563,18,5,4280.0,0,2022-01-02,2022-01-02 18:05:00,2022-01-02 18:05:00,VGH22.csv,133,VGH22.csv
44563,18,10,4280.0,0,2022-01-02,2022-01-02 18:10:00,2022-01-02 18:10:00,VGH22.csv,133,VGH22.csv
44563,18,15,4280.0,0,2022-01-02,2022-01-02 18:15:00,2022-01-02 18:15:00,VGH22.csv,133,VGH22.csv
44563,18,20,4280.0,0,2022-01-02,2022-01-02 18:20:00,2022-01-02 18:20:00,VGH22.csv,133,VGH22.csv
44563,18,25,4280.0,0,2022-01-02,2022-01-02 18:25:00,2022-01-02 18:25:00,VGH22.csv,133,VGH22.csv
44563,18,30,4280.0,0,2022-01-02,2022-01-02 18:30:00,2022-01-02 18:30:00,VGH22.csv,133,VGH22.csv
44563,18,35,4280.0,0,2022-01-02,2022-01-02 18:35:00,2022-01-02 18:35:00,VGH22.csv,133,VGH22.csv
44563,18,40,4280.0,0,2022-01-02,2022-01-02 18:40:00,2022-01-02 18:40:00,VGH22.csv,133,VGH22.csv
44563,18,45,4280.0,0,2022-01-02,2022-01-02 18:45:00,2022-01-02 18:45:00,VGH22.csv,133,VGH22.csv
44563,18,50,4280.0,0,2022-01-02,2022-01-02 18:50:00,2022-01-02 18:50:00,VGH22.csv,133,VGH22.csv
44563,18,55,4280.0,0,2022-01-02,2022-01-02 18:55:00,2022-01-02 18:55:00,VGH22.csv,133,VGH22.csv
44563,19,0,4280.0,0,2022-01-02,2022-01-02 19:00:00,2022-01-02 19:00:00,VGH22.csv,133,VGH22.csv
44563,19,5,4280.0,0,2022-01-02,2022-01-02 19:05:00,2022-01-02 19:05:00,VGH22.csv,133,VGH22.csv
44563,19,10,4280.0,0,2022-01-02,2022-01-02 19:10:00,2022-01-02 19:10:00,VGH22.csv,133,VGH22.csv
44563,19,15,4292.5,0,2022-01-02,2022-01-02 19:15:00,2022-01-02 19:15:00,VGH22.csv,221,VGH22.csv
44563,19,20,4290.5,0,2022-01-02,2022-01-02 19:20:00,2022-01-02 19:20:00,VGH22.csv,67,VGH22.csv
44563,19,25,4297.0,0,2022-01-02,2022-01-02 19:25:00,2022-01-02 19:25:00,VGH22.csv,240,VGH22.csv
44563,19,30,4308.5,0,2022-01-02,2022-01-02 19:30:00,2022-01-02 19:30:00,VGH22.csv,108,VGH22.csv
44563,19,35,4300.5,0,2022-01-02,2022-01-02 19:35:00,2022-01-02 19:35:00,VGH22.csv,18,VGH22.csv
44563,19,40,4298.5,0,2022-01-02,2022-01-02 19:40:00,2022-01-02 19:40:00,VGH22.csv,122,VGH22.csv
44563,19,45,4302.0,0,2022-01-02,2022-01-02 19:45:00,2022-01-02 19:45:00,VGH22.csv,4,VGH22.csv
44563,19,50,4301.5,0,2022-01-02,2022-01-02 19:50:00,2022-01-02 19:50:00,VGH22.csv,41,VGH22.csv
44563,19,55,4303.0,0,2022-01-02,2022-01-02 19:55:00,2022-01-02 19:55:00,VGH22.csv,7,VGH22.csv
44563,20,0,4304.5,0,2022-01-02,2022-01-02 20:00:00,2022-01-02 20:00:00,VGH22.csv,76,VGH22.csv
44563,20,5,4302.5,0,2022-01-02,2022-01-02 20:05:00,2022-01-02 20:05:00,VGH22.csv,5,VGH22.csv
44563,20,10,4302.5,0,2022-01-02,2022-01-02 20:10:00,2022-01-02 20:10:00,VGH22.csv,5,VGH22.csv
44563,20,15,4308.0,0,2022-01-02,2022-01-02 20:15:00,2022-01-02 20:15:00,VGH22.csv,56,VGH22.csv
44563,20,20,4307.0,0,2022-01-02,2022-01-02 20:20:00,2022-01-02 20:20:00,VGH22.csv,9,VGH22.csv
44563,20,25,4305.0,0,2022-01-02,2022-01-02 20:25:00,2022-01-02 20:25:00,VGH22.csv,19,VGH22.csv
44563,20,30,4303.0,0,2022-01-02,2022-01-02 20:30:00,2022-01-02 20:30:00,VGH22.csv,23,VGH22.csv
44563,20,35,4305.5,0,2022-01-02,2022-01-02 20:35:00,2022-01-02 20:35:00,VGH22.csv,35,VGH22.csv
44563,20,40,4298.5,0,2022-01-02,2022-01-02 20:40:00,2022-01-02 20:40:00,VGH22.csv,41,VGH22.csv
44563,20,45,4290.0,0,2022-01-02,2022-01-02 20:45:00,2022-01-02 20:45:00,VGH22.csv,62,VGH22.csv
44563,20,50,4288.5,0,2022-01-02,2022-01-02 20:50:00,2022-01-02 20:50:00,VGH22.csv,18,VGH22.csv
44563,20,55,4289.0,0,2022-01-02,2022-01-02 20:55:00,2022-01-02 20:55:00,VGH22.csv,37,VGH22.csv
44563,21,0,4285.5,0,2022-01-02,2022-01-02 21:00:00,2022-01-02 21:00:00,VGH22.csv,26,VGH22.csv
44563,21,5,4279.5,0,2022-01-02,2022-01-02 21:05:00,2022-01-02 21:05:00,VGH22.csv,23,VGH22.csv
44563,21,10,4280.5,0,2022-01-02,2022-01-02 21:10:00,2022-01-02 21:10:00,VGH22.csv,90,VGH22.csv
44563,21,15,4280.5,0,2022-01-02,2022-01-02 21:15:00,2022-01-02 21:15:00,VGH22.csv,13,VGH22.csv
44563,21,20,4281.5,0,2022-01-02,2022-01-02 21:20:00,2022-01-02 21:20:00,VGH22.csv,7,VGH22.csv
44563,21,25,4280.0,0,2022-01-02,2022-01-02 21:25:00,2022-01-02 21:25:00,VGH22.csv,2,VGH22.csv
44563,21,30,4280.5,0,2022-01-02,2022-01-02 21:30:00,2022-01-02 21:30:00,VGH22.csv,28,VGH22.csv
44563,21,35,4285.5,0,2022-01-02,2022-01-02 21:35:00,2022-01-02 21:35:00,VGH22.csv,14,VGH22.csv
44563,21,40,4283.5,0,2022-01-02,2022-01-02 21:40:00,2022-01-02 21:40:00,VGH22.csv,6,VGH22.csv
44563,21,45,4286.5,0,2022-01-02,2022-01-02 21:45:00,2022-01-02 21:45:00,VGH22.csv,9,VGH22.csv
44563,21,50,4285.0,0,2022-01-02,2022-01-02 21:50:00,2022-01-02 21:50:00,VGH22.csv,1,VGH22.csv
44563,21,55,4284.0,0,2022-01-02,2022-01-02 21:55:00,2022-01-02 21:55:00,VGH22.csv,2,VGH22.csv
44563,22,0,4285.5,0,2022-01-02,2022-01-02 22:00:00,2022-01-02 22:00:00,VGH22.csv,5,VGH22.csv
44563,22,5,4285.0,0,2022-01-02,2022-01-02 22:05:00,2022-01-02 22:05:00,VGH22.csv,17,VGH22.csv
44563,22,10,4283.5,0,2022-01-02,2022-01-02 22:10:00,2022-01-02 22:10:00,VGH22.csv,6,VGH22.csv
44563,22,15,4280.0,0,2022-01-02,2022-01-02 22:15:00,2022-01-02 22:15:00,VGH22.csv,13,VGH22.csv
44563,22,20,4280.0,0,2022-01-02,2022-01-02 22:20:00,2022-01-02 22:20:00,VGH22.csv,1,VGH22.csv
