time,open,high,low,close,volume
2025-02-20 12:31:00,132.06,132.06,132.06,132.06,1
2025-02-20 12:43:00,132.06,132.06,132.06,132.06,1
2025-02-24 06:24:00,131.7,131.7,131.7,131.7,1
2025-03-03 09:23:00,131.17,131.17,131.17,131.17,1
2025-03-03 19:15:00,131.78,131.78,131.78,131.78,1
2025-03-04 09:08:00,131.4,131.4,131.4,131.4,1
2025-03-04 13:06:00,131.01,131.01,131.01,131.01,1
2025-03-04 20:24:00,129.9,129.9,129.9,129.9,1
2025-03-05 07:34:00,129.0,129.0,129.0,129.0,1
2025-03-05 07:35:00,129.0,129.0,129.0,129.0,1
2025-03-05 08:00:00,128.9,128.9,128.9,128.9,1
2025-03-05 10:00:00,128.5,128.5,128.5,128.5,2
2025-03-05 20:09:00,127.45,127.45,127.45,127.45,1
2025-03-05 21:35:00,127.37,127.37,127.37,127.37,1
2025-03-06 02:41:00,127.3,127.3,127.3,127.3,2
2025-03-06 02:55:00,126.77,126.77,126.77,126.77,1
2025-03-06 04:31:00,127.29,127.29,127.29,127.29,9
2025-03-06 04:33:00,127.2,127.2,127.2,127.2,8
2025-03-06 04:49:00,127.47,127.47,127.47,127.47,8
2025-03-06 07:26:00,127.48,127.48,127.48,127.48,5
2025-03-06 07:28:00,127.48,127.48,127.48,127.48,2
2025-03-06 07:55:00,127.68,127.69,127.68,127.69,2
2025-03-06 09:05:00,127.35,127.35,127.35,127.35,5
2025-03-06 09:36:00,127.45,127.45,127.45,127.45,5
2025-03-06 11:07:00,127.0,127.0,127.0,127.0,2
2025-03-07 03:34:00,127.62,127.62,127.62,127.62,1
2025-03-07 06:01:00,127.65,127.65,127.65,127.65,1
2025-03-07 06:04:00,127.65,127.65,127.65,127.65,1
2025-03-07 10:23:00,127.76,127.76,127.76,127.76,1
2025-03-07 13:52:00,127.22,127.22,127.22,127.22,1
2025-03-10 04:00:00,127.52,127.52,127.52,127.52,1
2025-03-10 12:24:00,127.75,127.75,127.75,127.75,1
2025-03-10 13:02:00,127.61,127.61,127.61,127.61,1
2025-03-10 14:39:00,127.67,127.67,127.67,127.67,1
2025-03-11 03:23:00,127.35,127.35,127.35,127.35,1
2025-03-11 03:29:00,127.47,127.47,127.47,127.47,2
2025-03-11 05:35:00,127.0,127.0,127.0,127.0,1
2025-03-11 09:15:00,127.05,127.05,127.05,127.05,3
2025-03-11 11:31:00,126.96,126.96,126.96,126.96,1
2025-03-11 11:50:00,126.85,126.85,126.85,126.85,1
2025-03-11 16:00:00,126.6,126.6,126.6,126.6,1
2025-03-12 02:52:00,126.83,126.83,126.83,126.83,1
2025-03-12 10:04:00,127.02,127.02,127.02,127.02,1
2025-03-12 10:40:00,127.05,127.05,127.05,127.05,1
2025-03-12 10:41:00,127.05,127.05,127.05,127.05,1
2025-03-13 03:54:00,127.11,127.11,127.11,127.11,1
2025-03-13 11:25:00,127.32,127.32,127.32,127.32,1
2025-03-14 06:46:00,126.8,126.8,126.8,126.8,1
2025-03-14 15:19:00,127.05,127.05,127.05,127.05,1
2025-03-17 03:28:00,127.12,127.12,127.12,127.12,1
2025-03-17 05:16:00,127.6,127.6,127.6,127.6,1
2025-03-19 03:24:00,127.99,127.99,127.99,127.99,1
2025-03-19 14:38:00,128.21,128.21,128.21,128.21,1
2025-03-19 15:11:00,128.15,128.15,128.15,128.15,1
2025-03-20 02:30:00,128.38,128.38,128.38,128.38,1
2025-03-20 02:34:00,128.36,128.36,128.36,128.36,1
2025-03-20 02:47:00,128.35,128.35,128.35,128.35,1
2025-03-20 08:34:00,128.25,128.25,128.25,128.25,1
2025-03-20 11:25:00,128.2,128.2,128.2,128.2,2
2025-03-20 11:46:00,128.05,128.05,128.05,128.05,1
2025-03-21 06:38:00,128.33,128.33,128.33,128.33,1
2025-03-21 10:56:00,128.22,128.22,128.22,128.22,1
2025-03-25 03:15:00,128.09,128.09,128.09,128.09,1
2025-03-25 04:08:00,127.98,127.98,127.98,127.98,1
2025-03-25 05:10:00,127.83,127.83,127.83,127.83,1
2025-03-25 11:33:00,127.95,127.95,127.95,127.95,1
2025-03-26 13:57:00,128.24,128.24,128.24,128.24,1
2025-03-27 12:08:00,128.1,128.1,128.1,128.1,1
2025-03-27 21:12:00,128.31,128.31,128.31,128.31,1
2025-03-27 21:18:00,128.3,128.3,128.3,128.3,1
2025-03-28 11:24:00,128.61,128.61,128.61,128.61,1
2025-03-30 21:29:00,129.1,129.11,129.1,129.11,2
2025-03-31 00:12:00,129.15,129.15,129.15,129.15,1
2025-03-31 02:45:00,129.33,129.33,129.33,129.33,2
2025-04-01 10:15:00,129.39,129.39,129.39,129.39,1
2025-04-01 10:29:00,129.4,129.4,129.4,129.4,1
2025-04-01 10:33:00,129.35,129.35,129.35,129.35,1
2025-04-01 22:25:00,128.97,128.97,128.97,128.97,1
2025-04-02 08:11:00,129.35,129.35,129.35,129.35,1
2025-04-02 08:49:00,129.3,129.3,129.3,129.3,1
2025-04-02 11:56:00,128.74,128.74,128.74,128.74,1
2025-04-03 00:19:00,129.63,129.63,129.63,129.63,1
2025-04-03 03:23:00,129.5,129.5,129.5,129.5,1
2025-04-03 03:35:00,129.45,129.45,129.45,129.45,1
2025-04-03 04:02:00,129.43,129.43,129.43,129.43,2
2025-04-03 04:47:00,129.37,129.37,129.37,129.37,10
2025-04-03 23:01:00,129.77,129.77,129.77,129.77,5
2025-04-04 01:58:00,129.79,129.79,129.79,129.79,1
2025-04-04 02:23:00,129.92,129.92,129.92,129.92,1
2025-04-04 02:37:00,130.03,130.03,130.03,130.03,1
2025-04-04 02:38:00,129.99,129.99,129.98,129.98,3
